userId,age,gender,occupation,movieId,feedback,genre,timestamp
196,49,M,writer,242,0,Comedy,881250949
186,39,F,executive,302,0,Crime,891717742
22,25,M,writer,377,0,Children,878887116
244,28,M,technician,51,0,Romance,880606923
166,47,M,educator,346,0,Drama,886397596
298,44,M,executive,474,1,War,884182806
115,31,M,engineer,265,0,Action,881171488
253,26,F,librarian,465,1,Adventure,891628467
305,23,M,programmer,451,0,Romance,886324817
6,42,M,executive,86,0,Drama,883603013
62,27,F,administrator,257,0,Sci-Fi,879372434
286,27,M,student,1014,1,Comedy,879781125
200,40,M,programmer,222,1,Sci-Fi,876042340
210,39,M,engineer,40,0,Comedy,891035994
224,31,F,educator,29,0,Action,888104457
303,19,M,student,785,0,Romance,879485318
122,32,F,writer,387,1,Drama,879270459
194,38,M,administrator,274,0,Comedy,879539794
291,19,M,student,1042,1,Mystery,874834944
234,60,M,retired,1184,0,Documentary,892079237
119,32,M,programmer,392,1,Drama,886176814
167,37,M,other,486,1,Romance,892738452
299,29,M,doctor,144,1,Action,877881320
291,19,M,student,118,0,Adventure,874833878
308,60,M,retired,1,1,Children,887736532
95,31,M,administrator,546,0,Action,879196566
38,28,F,other,95,1,Musical,892430094
102,38,M,programmer,768,0,Children,883748450
63,31,M,marketing,277,1,Drama,875747401
160,27,M,programmer,234,1,Horror,876861185
50,21,M,writer,246,0,Drama,877052329
301,24,M,student,98,1,Thriller,882075827
225,51,F,administrator,193,1,Drama,879539727
290,40,M,engineer,88,1,Comedy,880731963
97,43,M,artist,194,0,Crime,884238860
157,57,M,engineer,274,1,Comedy,886890835
181,26,M,executive,1081,0,Crime,878962623
278,37,F,librarian,603,1,Mystery,891295330
276,21,M,student,796,0,Romance,874791932
7,57,M,administrator,32,1,Documentary,891350932
10,53,M,lawyer,16,1,Romance,877888877
284,40,M,executive,304,1,Children,885329322
201,27,M,writer,979,0,Thriller,884114233
276,21,M,student,564,0,Comedy,874791805
287,21,M,salesman,327,1,Mystery,875333916
