Id,Prediction
0,2
1,2
2,1
3,2
4,1
5,1
6,2
7,1
8,1
9,0
10,2
11,0
12,2
13,1
14,2
15,2
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,1
36,1
37,1
38,1
39,2
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,2
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,2
68,1
69,0
70,0
71,1
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,2
86,2
87,2
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,2
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,2
126,2
127,2
128,1
129,1
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,1
138,0
139,0
140,2
141,2
142,1
143,1
144,1
145,2
146,2
147,2
148,2
149,1
150,1
151,2
152,1
153,1
154,2
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,2
163,1
164,1
165,0
166,1
167,0
168,1
169,2
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,2
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,0
211,2
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,2
225,2
226,2
227,1
228,1
229,1
230,2
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,1
248,2
249,1
250,0
251,2
252,1
253,2
254,2
255,2
256,2
257,1
258,2
259,2
260,2
261,1
262,2
263,2
264,1
265,2
266,0
267,2
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,0
276,0
277,1
278,0
279,1
280,1
281,2
282,0
283,1
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,1
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,2
322,0
323,1
324,1
325,2
326,1
327,1
328,1
329,0
330,0
331,0
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,1
340,0
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,1
349,2
350,0
351,1
352,1
353,1
354,2
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,2
399,1
400,1
401,1
402,2
403,2
404,1
405,1
406,2
407,1
408,2
409,2
410,2
411,1
412,1
413,1
414,1
415,1
416,2
417,1
418,2
419,2
420,1
421,2
422,0
423,1
424,1
425,1
426,1
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,0
445,1
446,0
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,2
456,1
457,1
458,0
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,0
469,0
470,1
471,1
472,1
473,1
474,2
475,2
476,2
477,1
478,1
479,2
480,2
481,0
482,2
483,2
484,1
485,1
486,2
487,1
488,2
489,2
490,2
491,1
492,0
493,2
494,1
495,1
496,0
497,1
498,2
499,2
500,1
501,2
502,1
503,1
504,2
505,2
506,2
507,2
508,1
509,2
510,1
511,1
512,1
513,1
514,2
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,1
539,1
540,0
541,1
542,1
543,1
544,1
545,1
