ID,Prediction
0,2
1,2
2,2
3,2
4,2
5,2
6,1
7,1
8,0
9,2
10,2
11,2
12,2
13,2
14,2
15,1
16,2
17,2
18,2
19,2
20,1
21,1
22,1
23,2
24,1
25,2
26,1
27,2
28,1
29,2
30,1
31,2
32,1
33,1
34,2
35,2
36,2
37,2
38,2
39,1
40,2
41,1
42,0
43,2
44,1
45,2
46,1
47,1
48,1
49,2
50,2
51,2
52,1
53,1
54,2
55,2
56,2
57,0
58,1
59,1
60,1
61,1
62,1
63,2
64,1
65,1
66,1
67,1
68,1
69,2
70,2
71,2
72,2
73,2
74,1
75,2
76,1
77,2
78,2
79,1
80,1
81,2
82,2
83,2
84,2
85,1
86,2
87,1
88,1
89,2
90,2
91,1
92,0
93,0
94,1
95,2
96,2
97,0
98,1
99,0
100,1
101,1
102,1
103,2
104,2
105,1
106,1
107,2
108,1
109,0
110,0
111,2
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,0
122,0
123,0
124,2
125,2
126,1
127,0
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,1
140,2
141,0
142,1
143,1
144,1
145,2
146,1
147,1
148,1
149,1
150,2
151,2
152,2
153,1
154,1
155,1
156,0
157,2
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,2
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,2
175,1
176,1
177,2
178,1
179,1
180,1
181,2
182,2
183,2
184,2
185,2
186,1
187,1
188,2
189,2
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,0
199,2
200,1
201,2
202,1
203,1
204,0
205,2
206,1
207,2
208,1
209,1
210,0
211,1
212,1
213,2
214,2
215,1
216,2
217,1
218,0
219,1
220,1
221,2
222,0
223,1
224,2
225,0
226,1
227,1
228,1
229,2
230,1
231,1
232,2
233,1
234,1
235,1
236,0
237,0
238,1
239,1
240,2
241,1
242,1
243,2
244,2
245,1
246,2
247,1
248,2
249,2
250,2
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,2
259,1
260,1
261,0
262,1
263,0
264,1
265,1
266,1
267,2
268,1
269,2
270,1
271,1
272,1
273,1
274,1
275,2
276,2
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,2
293,1
294,1
295,1
296,1
297,2
298,0
299,0
300,0
301,0
302,1
303,0
304,1
305,0
306,0
307,0
308,1
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,1
317,1
318,1
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,2
327,1
328,0
329,0
330,1
331,0
332,0
333,2
334,1
335,1
336,0
337,1
338,0
339,1
340,2
341,2
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,0
372,1
373,1
374,1
375,0
376,0
377,1
378,1
379,2
380,1
381,1
382,1
383,0
384,0
385,0
386,1
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,0
398,2
399,1
400,1
401,1
402,1
403,1
404,0
405,0
406,1
407,1
408,1
409,0
410,2
411,1
412,1
413,1
414,1
415,1
416,0
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,2
425,1
426,0
427,1
428,0
429,0
430,1
431,2
432,0
433,0
434,1
435,1
436,1
437,1
438,0
439,0
440,0
441,1
442,1
443,1
444,1
445,0
446,2
447,0
448,1
449,2
450,0
451,0
452,1
453,0
454,1
455,1
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,0
499,1
500,1
501,1
502,0
503,1
504,1
505,2
506,1
507,0
508,2
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,0
532,0
533,1
534,2
535,1
536,0
537,2
538,2
539,2
540,0
541,1
542,1
543,1
544,1
545,1
