Infringement_Number,Trading_Name,Issuing_Authority,Date_Issued,Nature_of_Offence_Full,Offence_Code,Offence_Description,Offence_Date,Year,Month,Published_Address,Postcode,Amount_Payable,Offence_LGA
3225724471,MAX SPICES,NSW Food Authority,1/03/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,29/03/2022,2022,3,"UNIT 3, 5 STODDARD ROAD  PROSPECT 2146",2146,880,Blacktown
3225724480,MAX SPICES,NSW Food Authority,1/03/2023,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,29/03/2022,2022,3,"UNIT 3, 5 STODDARD ROAD  PROSPECT 2146",2146,880,Blacktown
3161228566,TEK SHING TRADING,NSW Food Authority,20/12/2022,Sale of food labelled in contravention to Food Standards Code,11343,Sell food packaged/labelled contravening Food Standards Code - Corporation,1/03/2022,2022,3,"UNIT B, 29 RICHLAND STREET  KINGSGROVE 2208",2208,880,Canterbury-Bankstown
3225724490,MAX SPICES,NSW Food Authority,1/03/2023,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,11339,Fail to comply with Food Standards Code - Corporation,22/06/2022,2022,6,"UNIT 3, 5 STODDARD ROAD  PROSPECT 2146",2146,880,Blacktown
3225724509,MAX SPICES,NSW Food Authority,1/03/2023,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,22/06/2022,2022,6,"UNIT 3, 5 STODDARD ROAD  PROSPECT 2146",2146,880,Blacktown
3225724417,YIMAO,NSW Food Authority,26/02/2023,Sale of food labelled in contravention to Food Standards Code,11343,Sell food packaged/labelled contravening Food Standards Code - Corporation,23/06/2022,2022,6,"BUILDING J, 61-65 ROBERTS ROAD  GREENACRE 2190",2190,880,Canterbury-Bankstown
3225724453,PREMIUM LOVELY SWEETS,NSW Food Authority,1/03/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",11339,Fail to comply with Food Standards Code - Corporation,3/07/2022,2022,7,"UNIT 12, 47 THIRD AVENUE  BLACKTOWN 2148",2148,880,Blacktown
3225724462,PREMIUM LOVELY SWEETS,NSW Food Authority,1/03/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,3/07/2022,2022,7,"UNIT 12, 47 THIRD AVENUE  BLACKTOWN 2148",2148,880,Blacktown
3251321902,DR CRAYFISH,City of Canada Bay Council,20/04/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,23/08/2022,2022,8,4 BURWOOD ROAD  CONCORD 2137,2137,880,City of Canada Bay
3251321893,RASHAYS,City of Canada Bay Council,20/04/2023,Fail to store potentially hazardous food under temperature control - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,25/08/2022,2022,8,"SHOP 45, 46A RIDER BOULEVARD  RHODES 2138",2138,880,City of Canada Bay
3148696605,BEL-AIR PIZZA AND PASTA,Wagga Wagga City Council,27/09/2022,Fail to ensure that at least one food safety supervisor has been appointed for the premises - previous warning given,23086,Not continue to have food safety supervisor for premises - Corporation,10/02/2022,2022,2,3/345 EDWARD STREET  WAGGA WAGGA 2650,2650,660,Wagga Wagga
3225724426,MITHAI JUNCTION,NSW Food Authority,1/03/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,17/07/2022,2022,7,UNIT 3 4 CARNEGIE PLACE  BLACKTOWN 2148,2148,880,Blacktown
3225724435,MITHAI JUNCTION,NSW Food Authority,1/03/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",11339,Fail to comply with Food Standards Code - Corporation,17/07/2022,2022,7,UNIT 3 4 CARNEGIE PLACE  BLACKTOWN 2148,2148,880,Blacktown
3225724444,MITHAI JUNCTION,NSW Food Authority,1/03/2023,"Fail to maintain at or near each hand washing facility a supply of - soap, previous warning given",11339,Fail to comply with Food Standards Code - Corporation,17/07/2022,2022,7,UNIT 3 4 CARNEGIE PLACE  BLACKTOWN 2148,2148,880,Blacktown
3225724518,"GOLDEN AUSTRALIAN FOOD, MUMS BUNS, AMRITAS",NSW Food Authority,1/03/2023,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,20/07/2022,2022,7,15 MEEKS ROAD  MARRICKVILLE 2204,2204,880,Inner West
3225724527,"GOLDEN AUSTRALIAN FOOD, MUMS BUNS, AMRITAS",NSW Food Authority,1/03/2023,Fail to maintain at or near each hand washing facility a supply of - single use towels,11339,Fail to comply with Food Standards Code - Corporation,20/07/2022,2022,7,15 MEEKS ROAD  MARRICKVILLE 2204,2204,880,Inner West
