school_name,attend_2011,attend_2012,attend_2013,attend_2014,attend_2015,attend_2016,attend_2017,attend_2018,attend_2019,attend_2021,attend_2022,indigenous_pct,selective_school,school_gender,lga,asgs_remoteness,enrolment_2022
Abbotsford Public School,94.3,95.9,95.7,95.3,94.6,95.2,94.1,94.9,94.3,94.3,89,2,Not Selective,Coed,Canada Bay (A),Major Cities of Australia,474
Aberdeen Public School,93.6,94.2,95.2,95.3,95,92.7,91.9,91.3,89.5,88.4,83.9,22,Not Selective,Coed,Upper Hunter Shire (A),Inner Regional Australia,166
Abermain Public School,93.5,93,92,92.8,91.4,91.5,92.8,91,90.3,89.2,85.2,26,Not Selective,Coed,Cessnock (C),Major Cities of Australia,265
Adaminaby Public School,95.4,96.4,97.2,96.2,90.9,85.5,95.6,92.2,94,90.7,75.7,0,Not Selective,Coed,Snowy Monaro Regional (A),Outer Regional Australia,12
Adamstown Public School,94.8,95.4,94.7,95.8,95.1,93.2,93,92.6,92.7,93.3,87.5,8,Not Selective,Coed,Newcastle (C),Major Cities of Australia,361
Albion Park Public School,93.6,94.2,94.7,93.9,93.6,93.5,93.1,92.7,91.8,90.4,86.5,9,Not Selective,Coed,Shellharbour (C),Major Cities of Australia,467
Timbumburi Public School,96,94.8,96.2,96.3,95.7,95.1,93.6,95.1,94.7,93.2,89.8,10,Not Selective,Coed,Tamworth Regional (A),Outer Regional Australia,154
Albury Public School,95,95,94.6,94.8,94.2,93.8,94.1,93.6,93.6,93.3,89.3,5,Not Selective,Coed,Albury (C),Inner Regional Australia,607
Albury West Public School,92,92.8,91.2,93.6,91.9,93.2,92.1,92.7,92.7,89.5,81.9,23,Not Selective,Coed,Albury (C),Inner Regional Australia,166
Alma Public School,89.4,91.2,92,92,90.8,90.9,91.7,88.9,88.5,88.8,85.9,36,Not Selective,Coed,Broken Hill (C),Outer Regional Australia,257
Alstonville Public School,93.3,93.4,93.9,94.3,93.7,93.6,93,92.9,92.8,90.2,84,10,Not Selective,Coed,Ballina (A),Inner Regional Australia,294
