hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,home_win
8,22,3,4,12,8,2,5,0,0,0,0,1
16,10,8,3,11,9,5,4,1,2,0,0,1
14,14,3,8,10,7,7,6,2,1,0,0,0
13,4,6,1,15,11,5,2,0,0,0,0,1
14,6,6,3,13,15,6,8,2,0,0,0,1
9,17,5,3,6,10,5,4,1,2,0,0,1
13,11,7,2,18,13,2,4,3,1,0,0,1
14,19,3,8,4,14,3,11,1,1,0,0,0
17,8,3,9,4,3,7,6,1,0,0,0,0
13,18,3,4,11,8,3,11,2,1,0,0,1
27,9,9,3,6,12,8,4,0,0,0,0,1
10,9,2,1,8,18,3,4,3,4,0,0,1
16,1,4,0,13,7,6,1,1,0,0,0,1
13,10,3,1,11,6,7,2,4,0,0,0,1
25,8,6,6,9,7,5,4,1,4,0,0,0
6,22,3,5,10,4,9,8,3,0,0,0,0
13,5,7,1,8,8,10,0,0,1,0,1,1
25,1,10,0,5,7,14,0,1,2,0,1,1
14,14,3,5,7,9,4,5,1,2,0,0,0
14,9,4,3,8,9,9,9,2,1,0,0,0
15,9,8,2,8,14,10,3,3,3,0,0,1
15,10,6,3,7,9,5,7,3,4,0,0,0
18,2,4,1,13,15,8,2,2,1,0,1,1
30,10,7,1,9,11,8,4,1,2,0,0,1
7,4,1,2,9,12,1,6,3,2,0,0,0
6,25,1,8,4,11,5,8,1,2,0,0,0
21,12,7,3,9,2,7,3,1,0,0,0,1
6,14,2,5,15,13,6,8,3,3,0,0,0
12,18,4,6,11,11,4,11,1,4,0,0,1
9,30,4,9,9,8,2,11,2,1,1,0,0
14,11,6,6,3,6,4,6,1,1,0,0,1
11,9,0,3,10,7,4,2,4,2,0,1,0
18,13,3,3,9,8,8,3,2,1,0,0,0
25,13,10,2,17,11,10,5,3,1,0,0,1
12,12,5,8,10,14,4,8,1,1,0,0,0
15,11,3,1,7,10,5,4,1,1,0,0,1
12,14,5,3,8,10,4,9,2,1,0,0,1
13,17,4,10,5,8,2,11,0,0,0,0,0
8,20,2,10,4,15,5,11,0,1,0,0,0
5,15,0,4,12,10,4,13,3,2,0,0,0
28,7,4,3,9,13,5,5,2,2,0,0,0
11,10,4,2,12,9,6,4,2,3,0,0,1
15,20,5,7,10,6,5,7,3,2,0,0,0
18,5,6,3,12,8,5,5,0,0,0,0,0
12,10,7,4,12,13,4,4,2,1,0,0,1
20,6,9,2,11,13,7,2,1,3,0,1,1
20,5,4,1,10,16,6,3,0,3,0,0,1
7,8,3,2,15,5,0,4,0,2,0,0,1
17,14,8,3,11,14,5,8,2,1,0,0,1
18,13,5,6,16,13,11,6,2,3,0,0,0
6,19,2,8,4,10,1,9,0,0,0,0,0
14,9,5,4,8,17,6,7,2,3,0,0,0
22,18,11,6,5,17,4,3,0,3,0,0,1
15,7,6,2,11,5,6,2,1,0,0,0,1
19,3,5,0,16,14,8,1,2,3,0,0,1
17,5,7,1,13,8,5,5,1,1,0,0,0
15,16,2,4,3,3,7,9,0,2,0,0,0
7,14,1,4,13,4,2,9,4,1,1,0,0
22,10,9,4,17,10,7,4,2,5,0,0,1
23,3,13,1,14,16,5,0,0,2,0,1,1
15,20,4,8,9,13,3,5,4,3,0,0,0
10,23,5,14,10,6,7,6,2,3,0,0,0
15,10,5,6,13,7,9,2,1,1,0,0,0
13,7,4,4,11,4,2,4,2,1,0,0,1
12,19,4,8,10,8,6,3,6,0,1,0,0
16,9,8,5,8,11,7,6,2,0,0,0,0
15,12,6,5,7,10,4,2,1,1,0,0,1
14,8,3,3,11,11,7,1,2,3,1,0,0
6,19,1,6,14,12,0,2,3,2,0,0,0
10,12,4,1,16,6,5,8,2,2,0,0,0
9,10,0,4,12,14,10,2,2,3,0,0,0
14,13,3,6,14,23,5,0,1,4,0,0,0
9,21,3,9,7,13,3,6,1,2,1,0,0
10,14,4,5,10,8,4,3,1,1,0,0,1
9,14,3,3,12,12,10,8,2,2,0,0,1
5,16,1,5,9,12,1,9,1,2,0,0,0
19,9,7,5,12,13,6,2,2,3,0,0,0
13,4,6,2,14,13,4,6,2,1,0,0,1
14,7,6,1,6,19,4,2,4,2,0,1,1
7,16,3,5,11,6,3,2,1,1,0,0,1
4,16,3,7,15,8,3,5,3,1,0,0,0
9,6,5,2,7,13,5,7,3,3,0,0,1
8,17,4,5,8,9,5,7,3,2,0,0,1
20,9,7,3,7,5,9,3,2,1,0,1,1
15,8,5,3,6,9,7,3,1,1,0,0,1
19,5,9,3,15,12,6,1,2,0,0,0,1
17,4,7,1,5,7,7,1,1,1,0,0,1
13,18,4,7,11,12,4,8,1,4,0,0,1
24,9,6,5,6,12,4,4,1,3,0,0,1
8,10,3,3,12,10,7,3,3,3,0,0,0
20,7,6,3,7,14,5,7,0,1,0,0,1
6,14,4,5,8,11,3,3,4,3,0,0,1
18,16,8,5,5,19,8,6,0,0,0,0,1
19,5,9,3,7,6,8,4,2,0,0,0,1
15,9,3,1,15,15,7,4,5,3,0,0,1
13,8,6,4,18,16,6,0,4,3,0,0,0
9,17,3,7,8,12,4,11,0,0,0,0,0
8,16,2,7,8,16,3,11,4,3,0,0,0
11,6,6,2,13,11,11,5,0,0,0,0,1
14,17,10,8,9,10,3,8,1,0,0,0,1
11,19,5,7,10,10,1,9,1,3,0,0,1
19,10,4,1,11,9,10,3,1,1,0,0,1
3,17,1,5,4,7,2,8,2,2,0,0,0
11,26,4,13,10,7,5,11,3,0,0,0,0
16,8,3,2,16,9,9,6,2,2,0,0,1
17,10,7,1,11,4,6,4,1,2,0,0,1
13,12,4,5,8,25,3,6,1,1,0,0,1
11,10,5,3,8,12,3,3,2,2,0,0,1
14,6,5,2,12,18,8,2,4,0,0,0,1
24,2,10,1,12,5,14,1,3,2,0,1,1
15,11,5,6,5,9,9,8,2,0,0,0,1
16,12,6,5,9,15,5,2,2,5,0,0,1
20,4,5,0,13,6,11,3,1,2,0,0,1
11,13,5,5,6,17,8,6,1,1,0,0,0
8,12,5,3,9,16,4,6,2,3,0,0,1
17,12,6,6,15,14,8,2,0,2,0,0,1
7,17,3,6,12,9,7,10,3,1,0,0,0
